Player,Team,Cap Number,Cash Spent
Eric Berry,Chiefs,"$13,000,000 ","$9,000,000 "
Devin McCourty,Patriots,"$11,935,000 ","$8,000,000 "
Lamarcus Joyner,Rams,"$11,287,000 ","$11,287,000 "
Earl Thomas,Seahawks,"$10,400,000 ","$8,500,000 "
Harrison Smith,Vikings,"$10,000,000 ","$8,000,000 "
Kam Chancellor,Seahawks,"$9,581,250 ","$6,800,000 "
Rodney McLeod,Eagles,"$8,406,250 ","$6,000,000 "
Eric Weddle,Ravens,"$8,250,000 ","$7,500,000 "
Tashaun Gipson,Jaguars,"$7,050,000 ","$6,250,000 "
Tyrann Mathieu,Texans,"$7,000,000 ","$7,000,000 "
Micah Hyde,Bills,"$6,800,000 ","$4,768,750 "
Johnathan Cyprien,Titans,"$6,562,500 ","$5,500,000 "
Glover Quin,Lions,"$6,516,666 ","$4,850,000 "
Darian Stewart,Broncos,"$5,900,000 ","$4,500,000 "
Tony Jefferson,Ravens,"$5,657,474 ","$6,000,000 "
Jahleel Addae,Chargers,"$5,500,000 ","$5,000,000 "
Daniel Sorensen,Chiefs,"$5,300,000 ","$3,743,750 "
Jamal Adams,Jets,"$5,058,820 ","$1,476,764 "
Reshad Jones,Dolphins,"$4,960,000 ","$9,735,000 "
Marcus Gilchrist,Raiders,"$4,500,000 ","$4,000,000 "
Shawn Williams,Bengals,"$4,150,000 ","$3,750,000 "
Malcolm Jenkins,Eagles,"$3,952,000 ","$8,600,000 "
Jordan Poyer,Bills,"$3,875,000 ","$3,000,000 "
Patrick Chung,Patriots,"$3,800,000 ","$5,375,000 "
Andre Hal,Texans,"$3,750,000 ","$3,500,000 "
Duron Harmon,Patriots,"$3,750,000 ","$2,500,000 "
Antoine Bethea,Cardinals,"$3,674,166 ","$4,750,000 "
Andrew Sendejo,Vikings,"$3,500,000 ","$3,500,000 "
Bradley McDougald,Seahawks,"$3,333,333 ","$6,000,000 "
Kurt Coleman,Saints,"$3,300,000 ","$6,300,000 "
Ricardo Allen,Falcons,"$3,289,000 ","$7,414,000 "
Karl Joseph,Raiders,"$3,241,177 ","$1,530,392 "
Ha-Ha Clinton-Dix,Washington,"$3,153,706 ","$3,153,706 "
Tavon Wilson,Lions,"$3,128,125 ","$4,003,125 "
Jaquiski Tartt,49ers,"$3,102,686 ","$5,621,865 "
Minkah Fitzpatrick,Dolphins,"$2,990,503 ","$10,522,012 "
Keanu Neal,Falcons,"$2,928,449 ","$1,426,150 "
Chris Conte,Buccaneers,"$2,875,000 ","$2,500,000 "
Malik Hooker,Colts,"$2,863,661 ","$1,037,732 "
T.J. McDonald,Dolphins,"$2,502,000 ","$5,800,000 "
Reggie Nelson,Raiders,"$2,500,000 ","$1,421,875 "
Tre Boston,Cardinals,"$2,500,000 ","$1,500,000 "
Jeff Heath,Cowboys,"$2,450,000 ","$2,000,000 "
Mike Adams,Panthers,"$2,425,000 ","$2,100,000 "
Morgan Burnett,Steelers,"$2,416,666 ","$5,250,000 "
Cody Davis,Jaguars,"$2,375,000 ","$2,500,000 "
Jabrill Peppers,Browns,"$2,350,508 ","$935,102 "
Derwin James,Chargers,"$2,252,537 ","$7,570,148 "
Nate Ebner,Patriots,"$2,175,000 ","$2,775,000 "
Quandre Diggs,Lions,"$2,153,838 ","$5,500,000 "
Da'Norris Searcy,Panthers,"$2,150,000 ","$2,450,000 "
Michael Thomas,Giants,"$2,000,000 ","$2,000,000 "
Adrian Amos,Bears,"$1,965,070 ","$1,907,000 "
Landon Collins,Giants,"$1,947,450 ","$1,269,621 "
Terrell Edmunds,Steelers,"$1,945,053 ","$6,340,212 "
Chris Maragos,Eagles,"$1,925,000 ","$1,887,500 "
Rontez Miles,Jets,"$1,907,000 ","$1,907,000 "
Terrence Brooks,Jets,"$1,887,500 ","$2,000,000 "
Brynden Trawick,Titans,"$1,750,000 ","$1,750,000 "
Rafael Bush,Bills,"$1,700,000 ","$2,000,000 "
Eric Reid,Panthers,"$1,690,000 ","$1,390,000 "
Corey Graham,Eagles,"$1,690,000 ","$1,715,000 "
Budda Baker,Cardinals,"$1,552,266 ","$775,453 "
Chris Banjo,Saints,"$1,550,000 ","$1,450,000 "
Anthony Levine,Ravens,"$1,533,333 ","$1,500,000 "
Damarious Randall,Browns,"$1,514,418 ","$1,514,418 "
Bobby McCain,Dolphins,"$1,502,472 ","$4,407,000 "
Adrian Phillips,Chargers,"$1,500,000 ","$1,500,000 "
Marcus Maye,Jets,"$1,489,548 ","$762,910 "
Kenny Vaccaro,Titans,"$1,475,000 ","$1,481,250 "
Marcus Williams,Saints,"$1,418,275 ","$748,655 "
Walt Aikens,Dolphins,"$1,300,000 ","$1,300,000 "
Justin Evans,Buccaneers,"$1,181,656 ","$701,331 "
Colin Jones,Panthers,"$1,175,000 ","$1,175,000 "
Sean Davis,Steelers,"$1,114,627 ","$821,542 "
Deshazor Everett,Washington,"$1,109,375 ","$1,250,000 "
Vonn Bell,Saints,"$1,083,354 ","$811,118 "
Kevin Byard,Titans,"$1,008,831 ","$784,566 "
Kemal Ishmael,Falcons,"$1,000,000 ","$1,000,000 "
Josh Jones,Packers,"$962,139 ","$657,428 "
Jordan Richards,Falcons,"$941,120 ","$941,120 "
Jessie Bates III,Bengals,"$899,603 ","$2,158,412 "
George Iloka,Vikings,"$880,000 ","$880,000 "
Duke Dawson,Patriots,"$862,705 ","$2,010,820 "
Clayton Geathers,Colts,"$838,482 ","$705,000 "
Justin Simmons,Broncos,"$805,355 ","$644,000 "
Eric Murray,Chiefs,"$788,951 ","$639,000 "
Miles Killebrew,Lions,"$774,641 ","$630,000 "
